GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ch13-continuous,es.ull.passengers,Passenger,39,50,3,7,6,17,7,6,4,4
ch13-continuous,es.ull.flights,Flight,0,73,0,4,0,18,0,8,0,6
